conversations
"[{'from': 'human', 'value': 'Correct this sentence: These arerthe quetMios n a debaWe aou the internWt'}, {'from': 'gpt', 'value': 'These are the questions in a debate about the internet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: FOirst they wanVt Xto know that this will bstoVp people from smzking'}, {'from': 'gpt', 'value': 'First they want to know that this will stop people from smoking'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The EEPs decision About thqbigger helth warqnings on the pwackagingc ould become law in 2014M'}, {'from': 'gpt', 'value': 'The MEPs decision about the bigger health warnings on the packaging could become law in 2014'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There are fewer and efwey adult smokersAin most EU countries ut there are more young smokers'}, {'from': 'gpt', 'value': 'There are fewer and fewer adult smokers in most EU countries but there are more young smokers'}]"
"[{'from': 'human', 'value': 'Correct this sentence: yhees ar producs that havNe helped many people stop smoking more harmnful ciuarettes'}, {'from': 'gpt', 'value': 'These are products that have helped many people stop smoking more harmful cigarettes'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Coal will probably rival oil as Bthe woblds biggest Wsource of energy i the next five yars'}, {'from': 'gpt', 'value': 'Coal will probably rival oil as the worlds biggest source of energy in the next five years'}]"
"[{'from': 'human', 'value': 'Correct this sentence: This mightfbe a disaster for the climate'}, {'from': 'gpt', 'value': 'This might be a disaster for the climate'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Blecause th US is usinHg less coal coaalp rcies across the worlR Ghava redced'}, {'from': 'gpt', 'value': 'Because the US is using less coal coal prices across the world have reduced'}]"
"[{'from': 'human', 'value': 'Correct this sentence: ThisuhaXs maud coal more atVtraYctiveeven in Europe'}, {'from': 'gpt', 'value': 'This has made coal more attractive even in Europe'}]"
"[{'from': 'human', 'value': 'Correct this sentence: China i they ibKgegst coa limfporter and Indonseia im the biggestcoal exporter'}, {'from': 'gpt', 'value': 'China is the biggest coal importer and Indonesia is the biggest coal exporter'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Accorqing to the IEAs MeDdiumTerm Coal Market Report the Qorld Zrill bCurn 1'}, {'from': 'gpt', 'value': 'According to the IEAs MediumTerm Coal Market Report the world will burn 1'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 2bn ope tonnes of coaO per year by z201 7compared witjh today'}, {'from': 'gpt', 'value': '2bn more tonnes of coal per year by 2017 compared with today'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Providing cheaper as is thy onpy way tor educe demand fr coal'}, {'from': 'gpt', 'value': 'Providing cheaper gas is the only way to reduce demand for coal'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Europe Chin aand otHher regiosn shouldd take notNe'}, {'from': 'gpt', 'value': 'Europe China and other regions should take note'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If somethGing isnt done soo thefewill be moreo climate change'}, {'from': 'gpt', 'value': 'If something isnt done soon there will be more climate change'}]"
"[{'from': 'human', 'value': 'Correct this sentence: H critCcizes internet user who think it is OK todownload muisc or books without paying for the'}, {'from': 'gpt', 'value': 'He criticizes internet users who think it is OK to download music or books without paying for them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The technlogj is so dazling that people cant ee thzt What thQre doing is wrong hexwrites'}, {'from': 'gpt', 'value': 'The technology is so dazzling that people cant see that what theyre doing is wrong he writes'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It is ourageousY that aPnyone can sewlpSan artists work wioSout punishment'}, {'from': 'gpt', 'value': 'It is outrageous that anyone can steal an artists work without punishment'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It is theftjjust hs putting you handKin someones pocyt aHd taking themr wallet is theft'}, {'from': 'gpt', 'value': 'It is theft just as putting your hand in someones pocket and taking their wallet is theft'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He conclduPs fIr we isnt to enjoy the workthat someoen Noes we should pay for it'}, {'from': 'gpt', 'value': 'He concludes If we want to enjoy the work that someone does we should pay for it'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Existig copyright laws dont work in the dgiital age and htey crimienalize conssmers'}, {'from': 'gpt', 'value': 'Existing copyright laws dont work in the digital age and they criminalize consumers'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We need new ideaAs fNr how artists wrtiers and musicians can earn a living from teri work'}, {'from': 'gpt', 'value': 'We need new ideas for how artists writers and musicians can earn a living from their work'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Casserly argues tht there is a lot wrong witph copyright whih was created a long time ago'}, {'from': 'gpt', 'value': 'Casserly argues that there is a lot wrong with copyright which was created a long time ago'}]"
"[{'from': 'human', 'value': 'Correct this sentence: She saEs artists need to think rdaetivJlyAaboup how theM earn money from their Pork'}, {'from': 'gpt', 'value': 'She says artists need to think reatively about how they earn money from their work'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Index on Censorship agrees'}, {'from': 'gpt', 'value': 'Index on Censorship agrees'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The magjineasE editor Rachael GJoylley said Illgal downlading is a very big proboem'}, {'from': 'gpt', 'value': 'The magazines editor Rachael Jolley said Illegal downloading is a very big problem'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Wey tried zto ge tfunding ubt its slnw aS ddificult nad nobody wants toNtakq a riks he said'}, {'from': 'gpt', 'value': 'We tried to get funding but its slow and difficult and nobody wants to take a risk he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: So hed tried crowdfundig on  aUS website Indiegogo whiVch has recently opened up in thevUK'}, {'from': 'gpt', 'value': 'So he tried crowdfunding on a US website Indiegogo which has recently opened up in the UK'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Within five days she made 36200'}, {'from': 'gpt', 'value': 'Within five days he made 36200'}]"
"[{'from': 'human', 'value': 'Correct this sentence: His campaign wzas wo popular that wtihin 40 daysheehad made 400000 from the public'}, {'from': 'gpt', 'value': 'His campaign was so popular that within 40 days he had made 400000 from the public'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Aother tnew crowdfhnding sitY iIs InvestinZgone'}, {'from': 'gpt', 'value': 'Another new crowdfunding site is InvestingZone'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It atces wealOthy peopleO Qtih nrtepreneurs'}, {'from': 'gpt', 'value': 'It matches wealthy people with entrepreneurs'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its PysEit is very poeulQa in Britain'}, {'from': 'gpt', 'value': 'It says it is very popular in Britain'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Internatiowal activity has iLcreaed by 41 sinceE December'}, {'from': 'gpt', 'value': 'International activity has increased by 41 since December'}]"
"[{'from': 'human', 'value': 'Correct this sentence: NGo project igs too csazy forP Idniegogo'}, {'from': 'gpt', 'value': 'No project is too crazy for Indiegogo'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The site charges a 4 fee foer sucgcesfsul campaigns'}, {'from': 'gpt', 'value': 'The site charges a 4 fee for successful campaigns'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A BritiKh woman made 100q00 to open a caU caf in Londont hrouR the site'}, {'from': 'gpt', 'value': 'A British woman made 100000 to open a cat caf in London through the site'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It will be called tady Dnahs Cat Empolrium ut idt is not open yetm'}, {'from': 'gpt', 'value': 'It will be called Lady Dinahs Cat Emporium but it is not open yet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Izeasa re a dime a dozeQn'}, {'from': 'gpt', 'value': 'Ideas are a dime a dozen'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Wha tsi important is how you make your idea Fhapen'}, {'from': 'gpt', 'value': 'What is important is how you make your idea happen'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its allabrut cnfidence to move fast yand to learn she says'}, {'from': 'gpt', 'value': 'Its all about confidence to move fast and to learn she says'}]"
"[{'from': 'human', 'value': 'Correct this sentence: That could statr to chanxe in the AUKhen pepol estat using InvestMngZone'}, {'from': 'gpt', 'value': 'That could start to change in the UK when people start using InvestingZone'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The 43yearold aOctor woh is Cfkrom Franceohas livd in Copenhagen Mfor W0 Jearh'}, {'from': 'gpt', 'value': 'The 43yearold actor who is from France has lived in Copenhagen for 20 years'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He was looking for love and wanMted to start a family'}, {'from': 'gpt', 'value': 'He was looking for love and wanted to start a family'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He Ytried to find someone online buttwGithout success'}, {'from': 'gpt', 'value': 'He tried to find someone online but without success'}]"
"[{'from': 'human', 'value': 'Correct this sentence: LZmal has ua sixyearold daugher fjroU anold relationship but hew hasalways wanzed more chilsnren'}, {'from': 'gpt', 'value': 'Limal has a sixyearold daughter from an old relationship but he has always wanted more children'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Id ioulrnt met anyone wh waZnted to ptart a fmily'}, {'from': 'gpt', 'value': 'I couldnt meet anyone who wanted to start a family'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He said it was dQffiult to knowvwhen to ialmk aouywdnting kixds when Lhe met soemoMne new'}, {'from': 'gpt', 'value': 'He said it was difficult to know when to talk about wanting kids when he met someone new'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its a dificult subjNt to talk about when Uyou are on a date Nhe sia'}, {'from': 'gpt', 'value': 'Its a difficult subject to talk about when you are on a date he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: And IL thought vYou shouldnt be ashamed of this'}, {'from': 'gpt', 'value': 'And I thought You shouldnt be ashamed of this'}]"
"[{'from': 'human', 'value': 'Correct this sentence: LiOral borrowed moey to stMrt Babyklar'}, {'from': 'gpt', 'value': 'Limal borrowed money to start Babyklar'}]"
"[{'from': 'human', 'value': 'Correct this sentence: nu  or babyready now in EnRlish'}, {'from': 'gpt', 'value': 'nu  or babyready now in English'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But ew dont maekk hem say how many children they wfouldMlike'}, {'from': 'gpt', 'value': 'But we dont make them say how many children they would like'}]"
"[{'from': 'human', 'value': 'Correct this sentence: That would be ike food shopping onlCne'}, {'from': 'gpt', 'value': 'That would be like food shopping online'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Hen ha haKd a very positive response to the site'}, {'from': 'gpt', 'value': 'He has had a very positive response to the site'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Fifty rpeople signed upevery hourpehn wNe startedFiwn June'}, {'from': 'gpt', 'value': 'Fifty people signed up every hour when we started in June'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Therwe are already couples who mt through the sitand are noe togethe'}, {'from': 'gpt', 'value': 'There are already couples who met through the site and are now together'}]"
"[{'from': 'human', 'value': 'Correct this sentence:  IthinN we will have uhe first Babykdr'}, {'from': 'gpt', 'value': 'I think we will have the first Babyklar'}]"
"[{'from': 'human', 'value': 'Correct this sentence: nu bab yby next usmmer'}, {'from': 'gpt', 'value': 'nu baby by next summer'}]"
"[{'from': 'human', 'value': 'Correct this sentence: hT esite ha scome at the rightKtime for thee country o five million people'}, {'from': 'gpt', 'value': 'The site has come at the right time for the country of five million people'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Danes are not having enoughechilren and thedc urent ratD of 1'}, {'from': 'gpt', 'value': 'Danes are not having enough children and the current rate of 1'}]"
